procedure id,#instructions,#samples,inYara?,f16c48ead435d2574abd2e18836681ba2ce788e7,8c29ad07039b6d5b672743efc007fc07f4197b68
006b39d2d47bd2be3841f451b6833e2c,8,2,False,0x5bac,0x59bc
00dec3b3cd76b5192857022cca79b960,1512,2,False,0x29328,0x29138
01416a5204fcd0c80abce4a66316f28f,40,2,True,0xb18,0xaf0
02e329a07e633bbd9e0def0ae27bef3f,156,2,True,0x38000,0x37d64
036bfddc8ec84fccaed9e50acd6b9f3b,44,2,False,0xff8,0xfd0
059c9d891b8159455fc5e4b41c33142f,42,2,True,0x3bdd4,0x3bb34
063cb9d106a33598623b70eace1d12cc,7,2,False,0xf8a0,0xf6b0
07b256e34aaa86f28fcafba130219c62,29,2,False,0x9044,0x8e54
090c00db2d6aa5d825c2b9ebef0deae2,11,2,False,0x3b4e4,0x3b244
09f3888baf1b6193d3a5a5da55b5212f,43,2,False,0x2383c,0x2364c
0cdae8c4b8299fb69e920fc1de4b4989,6,2,False,0x38e4c,0x38bac
0e4f7a8a353046afd1c412ef8db6112e,58,2,True,0x841c,0x822c
0eb66ceaa1242e6c8f44c7aeefa8e7b7,330,2,False,0x2e4dc,0x2e2ec
0ede595113fb3e6e1671b7e850a69871,88,2,False,0x3b374,0x3b0d4
0ee3c4a6ff2f218d1eb7936ebd3ab693,31,2,False,0x183dc,0x181ec
0f1e27632bbc7f2d2b4abe6d2cc8290c,51,2,False,0x2e2d8,0x2e0e8
109c37089c18df0dabe1ce994e2bc169,39,2,True,0x13ab4,0x138c4
10d84272ee345c74084813f4edd93e4e,7,2,False,0x3b0e4,0x3ae44
11020193363766c0f488c53c2c9ddc74,57,2,False,0x2e3a4,0x2e1b4
119b1a635dc40c4468a51504be41a613,190,2,False,0x33584,0x332b4
119bf9df669b82a099eb58adcfa585c1,21,2,False,0x1c5b4,0x1c3c4
11b7f54f0705b8901e38d409e24385c1,219,2,False,0x1b63c,0x1b44c
1211a74c3056ac478dd0eee6ecaded7a,32,2,False,0x3b18c,0x3aeec
12699c6c46d702a60fe46b01a3aeb766,18,2,True,0xfccc,0xfadc
12ba212cbcc6251813fc50a749618baa,122,2,False,0x7fe4,0x7df4
13af1413debdc36870738b2c20e7217e,12,2,False,0x19dd4,0x19be4
14121f04d10b11b94e245d24896efa24,16,2,False,0x32904,0x32634
143fb7a8f1ad6d3cd2acbdc979c3f929,3,2,False,0x30054,0x2fe30
144f95318604e82c8d333c0d96d81c4d,83,2,False,0x1370c,0x1351c
149368a89f76fe81b8f419d8544f7bb2,7,2,False,0x2e018,0x2de28
