procedure id,#instructions,#samples,inYara?,0752c7e01025cf3689ce283e0389d388f7268048,b0e0853d1aa3c318627f92bec64fe7d42490cb3a,a0d9f148e319fb604d7a70f4b482a2d9d06232fb
0015364a554094c6f45a326251600205,5,3,False,0x33540,0x33000,0x33680
0028a0785065883115b8d87e8d84461c,164,1,False,-,0x1c0d8,-
0080abb071e7e68e523d5f715cdbb28c,106,3,False,0xe1c0,0xd4b0,0xe300
00cadcae18421eb474e8be5809ef620f,948,3,False,0x34318,0x338a8,0x34458
010559c6d22597b639192ea43d05f512,64,3,True,0x35990,0x35450,0x35ad0
015eae796c42f5ab1c48bf1e69a6ff59,29,1,False,-,0x9d4,-
017290dced876d90730402014354edab,121,1,False,0x6a5c,-,-
01826b8200572d5dccb91d5724e8cf77,24,3,False,0x2a0,0x2a0,0x2a0
01a92f5ee21441b3b6d13c9630b342b9,62,1,False,-,0x768,-
024bf0ddb0f194b16652909dcbd37435,121,3,False,0x29054,0x28b14,0x29194
028bdd9a2a353fa5b0a330a402176d88,43,3,True,0x3fc94,0x41b14,0x3fdd4
030f1dcc49fec812217b7cc5edcbc142,147,2,False,0x4964,-,0x4a1c
03c9fbc80a05e348e06d50260349ec20,54,1,False,-,0x60e0,-
03de7ea7aa6be9e5a14cec00f9a4ba94,123,3,False,0xd1b8,0xc438,0xd2f8
03fc391f870c4e37709e495736446a20,159,3,False,0x1cc98,0x1c758,0x1cdd8
042c0aed8231b9758e6f222dc8dcc78d,52,1,False,-,0x2be0,-
04adc4f4247aba846c4a05488a93d8db,128,1,False,-,0x2f08,-
04aed5b5e9de42bff5cd3fc36475b21d,191,3,False,0x3282c,0x322ec,0x3296c
04f546e5ac148c8b4bb49cb10870fd07,49,3,False,0x23060,0x22b20,0x231a0
05503c084305d9ac49d7b741defd4329,99,2,False,0xa390,-,0xa4d0
0676ee55b2deaf6618d3a1f8491c7cd4,9,2,False,0x1eb4,-,0x1e9c
07334b85def4cd1464dd0da21e4dd7c0,41,2,True,0x9e98,-,0x9fd8
07d2dad622202ba542b4c151dfc5d892,369,3,True,0x314dc,0x30f9c,0x3161c
07d9f4ca3df6e2ae1079b63f9b4c9e36,221,2,False,0x42900,-,0x42980
07ecc3487960114308b03fa3b5ec106d,611,1,False,-,0x2044,-
09db9289313993288886c425b9694272,12,3,False,0xe57c,0xd86c,0xe6bc
0a590d0e5761b3ab3c6c340afd2b687f,31,2,False,0x5efc,-,0x608c
