procedure id,#instructions,#samples,inYara?,a5e0d0ebe41683619d1b9802149f0403b1a7d8be
01826b8200572d5dccb91d5724e8cf77,24,1,False,0x2a0
0aebdf667946621922e14e9b7969b68c,53,1,False,0x344
0b909a390bff7c1ff8cdfc6b5bdf2df1,2,1,False,0x3f38
0d5a9faa63cb4189dda972f46fc0d5b0,887,1,False,0x41c
109031a2027e9a0b77428a641302f671,16,1,False,0x3c30
15e8e1e5dccbf9e72b478f2259b3d861,34,1,False,0x4b0c
18433f9f5777e8d137d41105832c6f66,14,1,False,0x3e30
18714e67f25fdd85e3accb3cfdd1b175,57,1,True,0x3130
18cad3ee3e3a17eb489de096802d145b,97,1,False,0x3c80
1aab7cadaf4ea32ca058a26b413a5949,122,1,False,0x42c0
1d3fdc5f8fe3bf5668c0877af63ead6e,27,1,False,0x6f80
21cc9721f76586bf95d3a20f8d07687b,47,1,False,0x4640
233cbc791a4f0806ca97f262a191a670,34,1,False,0x5b00
23c0ef9704276debf28e93c2da606cb4,26,1,False,0x71b0
24a20ab6595d7bbc4936d052ddfdffb5,156,1,False,0x33b0
25e43f18a3895cb68b7aa38ceb3706df,62,1,False,0x4130
2a9d1f504566aef22d0490a9ada940c8,60,1,False,0x6800
2f702ee25379d02a4958d40bf013f587,59,1,False,0x48c0
3114e70f39705e805fde7f5f569d3646,17,1,False,0x15b0
32e334bf0f4a7dc196d0b3a0e093b8cc,30,1,False,0x53f0
33a39e95febac9c30037948b1f9d6021,64,1,False,0x3b30
34825910ced769158d6f05b15241ca02,69,1,False,0x56c0
3649dac84738e52738976d216715da9e,6,1,False,0x1590
378afba00b98813499501a0ad6ec5ff3,10,1,False,0x6ab0
39ac7b6608eeae8d5ae599d04255ab27,2,1,False,0x4a74
44512e9d31f88ffbfb6d72b957047e77,99,1,False,0x3220
44d80f58fa9f46bc4783b5386ac6b468,18,1,False,0x66a0
492735d56d971dfff688b8681e7d3aa4,377,1,False,0x2b3c
4d60e1af9dda1fa37599a4ffcbdc6410,18,1,False,0x6ff0
4ef88cbf1ac26750330a3cff84b3287d,64,1,False,0x1650
4fcbff8fa0361eca0321270a17a84159,27,1,False,0x6ae0
547a5c53ab9d128bad61cdc0348bb87f,65,1,False,0x11fc
5d91980e27930f4b862043bf58fe54ad,98,1,False,0x44b0
5ec46bdfeeb9850aa5c00b8db5ace9b5,66,1,False,0x6590
