procedure id,#instructions,#samples,inYara?,4ac8d962c6072b77f157c5d6459b887a658d66d5
00045e1473d3e079d62ff2a93f784f63,45,1,False,0x4ca0
003188505f8c8bc8646a8cf5b714326b,17,1,False,0x1f460
005b96764296970b2cf3b51e93678ddd,113,1,True,0x32140
00de8002cdf29be10e773df55d7c30c6,27,1,True,0x1a7b0
0134b1a741bd76b0e9ad4a59ce48e10b,11,1,False,0xbc20
01455609f1197db2750872b2dc0bd2e3,100,1,True,0x33740
01ff12cb055b62bf0b0e84454ef875e3,35,1,False,0x367a0
023f406dc1a571b92055234e27ea6a07,475,1,False,0x11150
02b7f546b37939b7e7e6197c0e7d67e5,120,1,True,0x17480
030f3b4ea0fa3c6b069554043f469e38,28,1,False,0x364e0
03532d81b20996d901e33b156cbe34ab,104,1,False,0x2d60
03cbfbe6175023b2b5b571905b2456e8,31,1,True,0x21fe0
04099e9cbab0d252d8161aa72c71da2d,355,1,False,0x19650
04403606061ecdc9f6ba806cd5bb4438,7,1,False,0xc290
04c9bbd4e23295b4149a039a7e7801a2,82,1,False,0x2de90
051c8556e2a64e4aea8f272a46f0a2c5,101,1,True,0xb900
052329b74f38b18a551fbee4cc28630b,259,1,True,0x1bb60
060b26b32a20b2205b30865e982ad10b,62,1,False,0x10820
0621f503b764e6b0dda6f3bc9b0a8cd1,110,1,False,0xde90
063ac4ec53d76b39a3363483710bb792,147,1,True,0x33576
074a8dc2847d57b11fef60958b54e4fd,25,1,False,0x1b460
0776a75e3d42f215cd21228cbc97f630,45,1,False,0x31252
084346fcde3342651d898b4fc5552195,51,1,True,0x30aec
08483936ae04095679de8ac66a69edb7,78,1,True,0x28300
087c01dff64715f307ea99b8d68dd3c8,145,1,False,0x1160
08cf90dd3a21f9aa460b59402500803d,16,1,False,0xc190
0971e48eacc8de98fa251ba6262b6c81,94,1,True,0x1f650
09aeaa855a331e26c7b3aca6b6fd8934,16,1,False,0xb710
0a640b3ab1ed3ed2f4a384e20c692ce2,432,1,True,0x312bc
0ab42accd37324b258626d04a4146026,23,1,True,0xca90
0ae52b6059e2118ce0bf343880b510bb,82,1,False,0x181b0
0af1a7961d9af291ec80a2d87ec2ab80,126,1,True,0x22390
0b703e3f6c03dec57cab3e5a5c19a640,27,1,True,0xb880
0b9988dbef1d30fc55d279eab0abff7c,53,1,False,0x1cb70
0bbacbef36ae7e544092cfa5d77cf761,52,1,True,0x1dc10
0c2dd02f2ef0f472cdb727bbc1968f86,12,1,False,0x25cb0
0c8a740d73827c9d7859d0203d15851e,60,1,False,0xc5c0
0cf5e96872e0bee03f0bad8eb8f98bab,84,1,True,0x39fd8
0d48839227cd1d04408aa833f0878fe4,49,1,False,0x305f8
0db8c4207b2c65e9fd8dc528dab70fdf,61,1,False,0x175f0
0e0653a52bd3ddb5f270305cff1fc2c1,18,1,True,0x188f0
0e846460935f7ae203a4999c56ee2f57,253,1,False,0x2660
0fe39749d4f11a508f483b5de1f19e59,35,1,True,0x31ed4
108801a4d408053055f873c2ec1c98c1,30,1,False,0x285f0
10fc26d7cdd1cb2fbc182cbf40804dc9,25,1,True,0xcc30
114347f39a0138e89a09a76ce9a14640,8,1,False,0x39df8
11b7e842c0a03ff529e0654a234ccc28,91,1,True,0x308d4
1249fb580b4e6790cbd471b0afc9304f,24,1,True,0x35958
12cc62fe40fe59b3515dc875e53164a7,172,1,True,0x39988
1316e0a3fc9611770b8510be14213dbc,36,1,False,0x16c90
13d9c80ae807f2ba1bb1d9de9a112188,10,1,False,0x1c610
14d2f86feafb1b9596d18cec7bb97b99,13,1,False,0x33a88
15358c72ac0a6b479f4e67de9b304b02,54,1,False,0x16d00
156eeb0234aa14dfff858ca278b2eb17,76,1,True,0x38428
1606b35ccec8c2096cad50eec308da56,63,1,False,0xea30
161f7228f73ca3e49e8cd9d08d6ce95b,26,1,False,0x1b390
1632f6b1621bb4c938731f22152b4eed,74,1,False,0xeaf0
163ee7d48faec941489bad23440fd859,42,1,False,0x35eac
167f7c26f953cf148f8eb3d0101cc71e,44,1,True,0x7470
171810eaeb4f9b59b2e38768d682a191,18,1,False,0x1f3c0
180a565eab4548adbe44f434704d2843,41,1,True,0x30416
1828cb6fdb987c36be6c72e68cd73e01,69,1,False,0x3854c
1854d2187bbdc59951b958fe6e076cd2,63,1,True,0x8070
19019cb2ff20a74ad635a1da1e89200d,64,1,True,0x17d80
19460f424fc76a96bfffd9b7b46f15c6,94,1,False,0x31928
197be5f459c7a7213ef2d697f02d9b6f,51,1,True,0x20f80
1aff5482b9c2c6c8ade8902de4db41c4,5,1,False,0x12400
1b7a66b7bc4a22b4d4c0e4cfdd6b3c66,10,1,False,0x309fc
1bbd76045c80f109f473574c043de4fc,86,1,False,0x30504
1c001e17321e9a52075d7c8bdf654d89,47,1,True,0x70c0
1c198ead5380c2f208750aac5b0c0380,238,1,True,0x134c0
1d26bfc750d890dcef504feefb17e42e,17,1,False,0x214f0
1d327f3fc8e623fdb7a686b1c561b9fb,27,1,False,0x125d0
