procedure id,#instructions,#samples,inYara?,4abb20f92c04e1118e356936f36359620e998de7,60a5b825c197a8788b8934c31e7453bd9a87e452,8a189f0c6a69efeaed1916860a0ff74e424563f6
00045e1473d3e079d62ff2a93f784f63,45,2,False,0x9fc0,-,0x9290
003188505f8c8bc8646a8cf5b714326b,17,3,False,0x27ba0,0x26ec0,0x26c90
00521f8e7a3982730dd1b56636696a01,75,1,False,0x5cd0,-,-
005b96764296970b2cf3b51e93678ddd,113,3,True,0x36d08,0x35f78,0x35cb0
00de8002cdf29be10e773df55d7c30c6,27,3,True,0x1eb00,0x1de20,0x1dbf0
01000f4f2da8269e7821a72030c89824,8,2,False,-,0x33d68,0x33b38
0134b1a741bd76b0e9ad4a59ce48e10b,11,3,False,0x11ab0,0x10f40,0x10d10
01455609f1197db2750872b2dc0bd2e3,100,3,True,0x384d4,0x37688,0x373c0
014d75c05ad8227c4e565ecef41de507,58,2,True,-,0x5dc0,0x5b90
01ff12cb055b62bf0b0e84454ef875e3,35,3,False,0x3b53c,0x3a1b4,0x39eec
02b7f546b37939b7e7e6197c0e7d67e5,120,3,True,0x1b7c0,0x1aae0,0x1a8b0
030f3b4ea0fa3c6b069554043f469e38,28,3,False,0x3b274,0x39ed8,0x39c10
033b804879c6810ca1ef36ef9324b60c,165,3,False,0x331a0,0x324c0,0x32290
039bfb5d36271e05f3af56cc7a737b8b,5,3,False,0xd00,0xff0,0xfc0
03cbfbe6175023b2b5b571905b2456e8,31,3,True,0x2a2d0,0x29bc0,0x29990
04099e9cbab0d252d8161aa72c71da2d,355,3,False,0x1d990,0x1ccb0,0x1ca80
051c8556e2a64e4aea8f272a46f0a2c5,101,3,True,0x117e0,0x10c70,0x10a40
052329b74f38b18a551fbee4cc28630b,259,3,True,0x1feb0,0x1f1d0,0x1efa0
05c2547d86d2be659fc4ab07088d4144,280,3,True,0xcce0,0xc170,0xbf40
063ac4ec53d76b39a3363483710bb792,147,2,True,-,0x374be,0x371f6
06b95f0ca55d0c0bb66e356e9a5d406e,60,3,True,0x23210,0x22530,0x22300
070e474db8c0c56d43f1922a73553bef,30,2,True,-,0x7550,0x7320
074a8dc2847d57b11fef60958b54e4fd,25,3,False,0x1f7b0,0x1ead0,0x1e8a0
0776a75e3d42f215cd21228cbc97f630,45,3,False,0x35cee,0x34ff2,0x34da2
084346fcde3342651d898b4fc5552195,51,3,True,0x35588,0x3488c,0x3463c
08483936ae04095679de8ac66a69edb7,78,3,True,0x30560,0x2f880,0x2f650
08c6f16dc376b4ab98f0dec97fabf073,63,1,False,0x36b90,-,-
08cf90dd3a21f9aa460b59402500803d,16,3,False,0x11eb0,0x11340,0x11110
09437ce733e6a833cf01b349b44a0832,207,3,True,0x34ef0,0x34210,0x33fc0
0971e48eacc8de98fa251ba6262b6c81,94,3,True,0x27d90,0x270b0,0x26e80
09aeaa855a331e26c7b3aca6b6fd8934,16,3,False,0x115f0,0x10a80,0x10850
09c297206679ebe23cb155cc6311930d,190,3,True,0xf1d0,0xe660,0xe430
0a43a7eea14bfd761e3a5f28df9d360e,22,2,False,-,0x72e0,0x70b0
0a640b3ab1ed3ed2f4a384e20c692ce2,432,3,True,0x35d58,0x3505c,0x34e0c
0a7e539ca526ccd60ced399bcecf8fd9,41,3,False,0x24720,0x23a40,0x23810
0ab42accd37324b258626d04a4146026,23,3,True,0x12310,0x117a0,0x11570
0ae52b6059e2118ce0bf343880b510bb,82,3,False,0x1c4f0,0x1b810,0x1b5e0
0af1a7961d9af291ec80a2d87ec2ab80,126,3,True,0x2a680,0x29f70,0x29d40
0b06fa21712f235396255de8506e6a93,33,3,False,0x21fc0,0x212e0,0x210b0
0b0fe8e8de66f0a3f3263d925fdd98f4,34,1,False,0x1060,-,-
0b4e4e936117bd4f4797922c6bfa0a29,37,3,False,0x21530,0x20850,0x20620
