procedure id,#instructions,#samples,inYara?,4fcb3f9cdf5a6150cc111ac8f6ae0b273c0f740e
000d48ca342ba942ab4ec49732dd9ebb,225,1,False,0xc44a0
001f59f9d5a4fd3d4c0b62a5a8835c7a,47,1,False,0xf890
002cbcfad0c5b470cda4c53b593a4580,64,1,False,0xfc8a0
002e92a542d2a1b118206f7eb00ee7eb,104,1,False,0x286014
003e7fbc8ecb14e84686529f1ceaf1ae,273,1,False,0x286a9c
004859ae289c239128f9c577458a68f3,54,1,False,0x1bcf2c
00497faea79eca90086874e7de2ca665,28,1,False,0x22c104
004e3c40d32c84423dae762677eef3b5,20,1,False,0xc8da0
005b96764296970b2cf3b51e93678ddd,113,1,True,0x2cbd3c
006fd5f8ce33c1f4d59ff6a675ff45ac,12,1,False,0x1edc93
00735e9395f0fd3e77f709d1090c34ed,17,1,False,0xfa960
00905ed280f1e8b91a589cc4de737a90,35,1,False,0x2a0079
0093501514d665c8135d6c7645b2c05f,25,1,False,0x17af10
0097ec210372fd1ffbd42144b97e0481,19,1,False,0x2d53e6
009b58ab78c991475641d6aa51fcf680,73,1,False,0x3c7c0
00a71fce3df26a62f05ce104b91a4893,105,1,True,0x236e1b
00b36dbc063f165f2e00fc131b9c89f7,36,1,False,0x2739da
00c3c9558467d424e7699ff7f51d0b55,46,1,False,0x64400
00c73aeb1c742a89e3c3e949ad700e4e,26,1,False,0xab310
00ddcf79ceb28b0bc7f9a2a9e400c298,119,1,False,0xae020
00ddf29ee61c23a2a26e22731c7ef7e0,324,1,False,0x100ec0
00e400f8281eccf0711bdb2ca4f76832,1126,1,False,0x18da53
00e40920fe770480cb89d49dbbdc674b,247,1,False,0x2bc20e
00f32e27521967e3bd91d1bce49db0cb,11,1,False,0x2256a3
00f55c081edb55c2e58ac5da8d7ac456,39,1,False,0x107980
01000f4f2da8269e7821a72030c89824,8,1,False,0x2c8058
011c29743dc9507e40fa8fec41e726a3,6,1,False,0x25da0d
01258e37cb786f660bd9dc63d9bf82e8,9,1,False,0xef380
0127f3b0e8e5666cef1628ce2b86f43c,255,1,False,0xe89b0
012cc59eaa38b2dcf8883f3eef0446b9,16,1,False,0x20bffd
01371c936a926cfa0c3afa191273ae33,27,1,True,0x1a5a12
013b2ef32f8bbeb8d185200aead925c3,8,1,False,0x1dcacd
013d3fe7ef32525f4b5e7f5a1d9c3813,24,1,False,0x2bbc13
01409593243e710053e3b4d6e7c94f2c,34,1,False,0x1077d0
01455609f1197db2750872b2dc0bd2e3,100,1,True,0x2cdd54
0162a845171f4469a312df3544611c1f,56,1,False,0xb370
