procedure id,#samples,#instructions,4ac8d962c6072b77f157c5d6459b887a658d66d5,ce5225255035ffdb723e197be715d652ae6ffd2c,cc946b2c2e5cb0b28873c9f7ff4d17ee593fc3c2,788cc1ef63e2b6c83760750cc9fe499ab9929e9d,001a0ae15f5227964bbc283c40d3075c914dabeb,2d000cf948f0565fb04c2edcc9bf3ba7ddee4c1c,38a191ddb7a351b55e232ddd40d1155fcb319785,6a666edd59469b3ffd1be7eccb67204fc442143d,68849b50a02621cafdf2180e6a2878cb09040d91,379032547143823e9578dadad0e8a1aa49369a54,d39411845836b0c2821f088807850d49ea495135,dc8cec562f9069e8400b069434c6eee244035c2f,5efb19bb3b5c2f85368f98099cce0f3243d3361a,597978903502626c13cfbae8b3d6fbb1eae40edb,6615478457530763b56aa69ce160ecf20a9daa9f,341d6fe50ae334f14ff5dc687495cb668d00b127,ec960d1edcfb04e2bcdb935fa5ea8858621ea24a,90a46fb2014fa0788be45a89f77f831ce426b037,4340065699141a144bfa28ba1a8dda24f7794fa7,cfed394dcfa28602e9da764253109a93e9fac06b,4ac8d962c6072b77f157c5d6459b887a658d66d5,ce5225255035ffdb723e197be715d652ae6ffd2c,cc946b2c2e5cb0b28873c9f7ff4d17ee593fc3c2,788cc1ef63e2b6c83760750cc9fe499ab9929e9d,001a0ae15f5227964bbc283c40d3075c914dabeb,2d000cf948f0565fb04c2edcc9bf3ba7ddee4c1c,38a191ddb7a351b55e232ddd40d1155fcb319785,6a666edd59469b3ffd1be7eccb67204fc442143d,68849b50a02621cafdf2180e6a2878cb09040d91,379032547143823e9578dadad0e8a1aa49369a54,d39411845836b0c2821f088807850d49ea495135,dc8cec562f9069e8400b069434c6eee244035c2f,5efb19bb3b5c2f85368f98099cce0f3243d3361a,597978903502626c13cfbae8b3d6fbb1eae40edb,6615478457530763b56aa69ce160ecf20a9daa9f,341d6fe50ae334f14ff5dc687495cb668d00b127,ec960d1edcfb04e2bcdb935fa5ea8858621ea24a,90a46fb2014fa0788be45a89f77f831ce426b037,4340065699141a144bfa28ba1a8dda24f7794fa7,cfed394dcfa28602e9da764253109a93e9fac06b
ce7525083fa97028d0ce9b272e947557,20,19,0x34670,0x7f9c,0x7f9c,0xeab0,0xc58c,0xbf40,0xbbac,0xbfa8,0xd140,0xc990,0xba60,0xbbac,0xa5e4,0xd6f0,0xa3b0,0x12b0c,0xba60,0xcabc,0xc5c8,0xa3b0,-,__libc_sendto,__libc_sendto,__libc_sendto,__libc_sendto,__libc_sendto,__libc_sendto,__libc_sendto,__libc_sendto,__libc_sendto,__libc_sendto,__libc_sendto,sendto,__libc_sendto,__libc_sendto,__libc_sendto,__libc_sendto,__libc_sendto,__libc_sendto,__libc_sendto
b009497da8c5190b915215da683becfc,20,42,0x36d84,0xa144,0xa144,0x14c34,0x14de4,0x147cc,0x151e0,0x155dc,0x15594,0x12b70,0x11c40,0x151e0,0xe1f4,0x15bc0,0x10528,0x1aa00,0x11c40,0x15e60,0x14c28,0x10528,-,__stdio_trans2r_o,__stdio_trans2r_o,__stdio_trans2r_o,__stdio_trans2r_o,__stdio_trans2r_o,__stdio_trans2r_o,__stdio_trans2r_o,__stdio_trans2r_o,__stdio_trans2r_o,__stdio_trans2r_o,__stdio_trans2r_o,__stdio_trans2r_o,__stdio_trans2r_o,__stdio_trans2r_o,__stdio_trans2r_o,__stdio_trans2r_o,__stdio_trans2r_o,__stdio_trans2r_o,__stdio_trans2r_o
6af6af5592eaf67cc5923fbbf4796fb7,20,29,0x368a4,0x566c,0x566c,0xc27c,0xa91c,0x9ff8,0xad18,0xb154,0xb19c,0xa064,0x9134,0xad18,0x82e8,0xb760,0x7d10,0x1057c,0x9134,0xb96c,0xa164,0x7d10,-,__libc_open,__libc_open,__libc_open,__libc_open,__libc_open,__libc_open,__libc_open,__libc_open,__libc_open,__libc_open,__libc_open,open,__libc_open,__libc_open,__libc_open,__libc_open,__libc_open,__libc_open,__libc_open
42f12641bc43959892eafb9ecf14dc3c,20,58,0x38db0,0xdc28,0xdc28,0x13d9c,0x113a0,0x11310,0x1028c,0x10688,0x11f84,0x11890,0x10960,0x1028c,0xd4e0,0x12534,0xf5c0,0x17974,0x10960,0x10fa4,0x11764,0xf5c0,-,inet_aton,inet_aton,inet_aton,inet_aton,inet_aton,inet_aton,inet_aton,inet_aton,inet_aton,inet_aton,inet_aton,inet_aton,inet_aton,inet_aton,inet_aton,inet_aton,inet_aton,inet_aton,inet_aton
7c8d19da5b0718a141eae24741551883,20,173,0x39674,0xfe24,0xfe24,0x14584,0x130f8,0x13068,0x12dc0,0x131bc,0x1276c,0x12078,0x11148,0x12dc0,0xdcc8,0x12d1c,0xfda8,0x1815c,0x11148,0x1178c,0x134e4,0xfda8,-,__open_nameservers,__open_nameservers,__open_nameservers,__open_nameservers,__open_nameservers,__open_nameservers,__open_nameservers,__open_nameservers,__open_nameservers,__open_nameservers,__open_nameservers,__open_nameservers,__open_nameservers,__open_nameservers,__open_nameservers,__open_nameservers,__open_nameservers,__open_nameservers,__open_nameservers
64707de9b34210893415e436c55f456a,20,20,0x3a850,0x11250,0x11250,0x16870,0x14e60,0x14840,0x15250,0x15650,0x15610,0x148a0,0x13970,0x15250,0xf0f0,0x15c30,0x12200,0x1aa70,0x13970,0x15f10,0x14ca0,0x12200,-,__do_global_ctors_aux,__do_global_ctors_aux,__do_global_ctors_aux,__do_global_ctors_aux,__do_global_ctors_aux,__do_global_ctors_aux,__do_global_ctors_aux,__do_global_ctors_aux,__do_global_ctors_aux,__do_global_ctors_aux,__do_global_ctors_aux,__do_global_ctors_aux,__do_global_ctors_aux,__do_global_ctors_aux,__do_global_ctors_aux,__do_global_ctors_aux,__do_global_ctors_aux,__do_global_ctors_aux,__do_global_ctors_aux
3acc448e72fa4a44064164c446c07d80,20,8,0x3644c,0x5320,0x5320,0xbdb8,0xa510,0x9bec,0xa90c,0xad48,0xad90,0x9ce4,0x8db4,0xa90c,0x8040,0xb354,0x78d8,0x10170,0x8db4,0xb5a0,0x9d58,0x78d8,-,_exit,_exit,_exit,_exit,_exit,_exit,_exit,_exit,_exit,_exit,_exit,_exit,_exit,_exit,_exit,_exit,_exit,_exit,_exit
52a6ac33265e4c3aac62d32845be7a61,20,14,0x38528,0xb91c,0xb91c,0x11a90,0xf094,0xf004,0xdf80,0xe37c,0xfc78,0xf584,0xe654,0xdf80,0xd388,0x10228,0xd2b4,0x15668,0xe654,0xed48,0xf458,0xd2b4,-,mempcpy,mempcpy,mempcpy,mempcpy,mempcpy,mempcpy,mempcpy,mempcpy,mempcpy,mempcpy,mempcpy,mempcpy,mempcpy,mempcpy,mempcpy,mempcpy,mempcpy,mempcpy,mempcpy
f67c421cc18b854edfe630837d6f3053,20,28,0x3121c,0x6710,0x6710,0xcfec,0xb254,0xabe8,0x10e70,0x1126c,0xbb28,0xaf0c,0x9fdc,0x10e70,0x8c00,0xc070,0x8900,0x111f8,0x9fdc,0x123a8,0xaf1c,0x8900,-,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad
5aa765e7b41ad39f0d957d4e0a70a66f,20,81,0x36f34,0xa328,0xa328,0x112ec,0xe9f4,0xe730,0xde8c,0xe288,0xf5b0,0xede0,0xdeb0,0xde8c,0xcbe4,0xfb60,0xcb10,0x14fa0,0xdeb0,0xec50,0xedb8,0xcb10,-,_uintmaxtostr,_uintmaxtostr,_uintmaxtostr,_uintmaxtostr,_uintmaxtostr,_uintmaxtostr,_uintmaxtostr,_uintmaxtostr,_uintmaxtostr,_uintmaxtostr,_uintmaxtostr,_uintmaxtostr,_uintmaxtostr,_uintmaxtostr,_uintmaxtostr,_uintmaxtostr,_uintmaxtostr,_uintmaxtostr,_uintmaxtostr
